"","Cyear","Lusimj","sLusi","sstmj","sSST","Beutimj","sbeuti","sLusi_lag4","sSST_lag4","sbeuti_lag4","Tumimj","sTumi","HCImj","sHCI","Windmj","sWind","STImj","sSTI","STI48mj","sSTI48","DO150mj","sDO150","DO50mj","sDO50","cutimj","scuti","ara150mj","sara150","ara40mj","sara40","sTumi_lag4","sHCI_lag4","sWind_lag4","sSTI_lag4","sSTI48_lag4","sDO150_lag4","sDO50_lag4","scuti_lag4","sara150_lag4","sara40_lag4","Landkg"
"18",1984,130,-1.19285398364934,NA,NA,NA,NA,-0.193544435478973,NA,NA,3157.1763,-1.20374137891412,0.368132892833333,0.0109671092108434,NA,NA,147,1.42434371926049,146,1.04502590178018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.965088586094381,-0.826586966347134,NA,-0.116302259334778,-0.260787433298825,NA,NA,NA,NA,NA,2130290.215
"19",1985,159,-0.226854753751319,NA,NA,NA,NA,-2.65850798763254,NA,NA,4642.365,-0.410881876811059,0.695063108333333,1.73149358727831,NA,NA,124,0.46664486770127,123,0.210756271035261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.58233632657592,-1.40237484964971,NA,2.54859889283001,2.06065849573052,NA,NA,NA,NA,NA,1323409.717
"20",1986,139,-0.893061119198228,NA,NA,NA,NA,-0.193544435478973,NA,NA,4333.1387,-0.575960570350251,0.437639196666667,0.376755985454533,NA,NA,148,1.46598279976307,148,1.11757108706235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.861980032114377,0.332802747871534,NA,-0.241219500842502,-0.369605211222075,NA,NA,NA,NA,NA,1790443.843
"21",1987,196,1.00562702232546,NA,NA,NA,NA,-0.160234117206628,NA,NA,4741.0835,-0.358181569598675,0.264940609166667,-0.532100028554981,NA,NA,106,-0.282858581345077,124,0.247028863676345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.70969166098048,-1.4482815875559,NA,0.633201189711569,-0.877421508197244,NA,NA,NA,NA,NA,1441281.137
"22",1988,113,-1.75912939427921,NA,NA,0.6454,-0.176213357527668,-1.19285398364934,NA,NA,3079.5928,-1.245158887128,0.510950260833333,0.762568067219895,NA,NA,155,1.75745636328109,155,1.37147923554993,NA,NA,NA,NA,0.2468,0.0223057733724696,NA,NA,NA,NA,-1.20374137891412,0.0109671092108434,NA,1.42434371926049,1.04502590178018,NA,NA,NA,NA,NA,7346167.929
"23",1989,193,0.905696067508427,NA,NA,-1.2322,-1.07256677704872,-0.226854753751319,NA,NA,6020.5693,0.324864614590534,0.480326648833333,0.601406043026188,NA,NA,96,-0.699249386370825,96,-0.768603730273994,NA,NA,NA,NA,0.17,-0.440689738791227,NA,NA,NA,NA,-0.410881876811059,1.73149358727831,NA,0.46664486770127,0.210756271035261,NA,NA,NA,NA,NA,9852706.665
"24",1990,203,1.23879925023188,NA,NA,1.6746,0.31511969497077,-0.893061119198228,NA,NA,4336.3354,-0.574254030319093,0.443207134833333,0.406058217520607,NA,NA,82,-1.28219651340687,159,1.51656960611427,NA,NA,NA,NA,0.3004,0.345438057903383,NA,NA,NA,NA,-0.575960570350251,0.376755985454533,NA,1.46598279976307,1.11757108706235,NA,NA,NA,NA,NA,3026062.571
"25",1991,207,1.37204052332126,NA,NA,1.6654,0.310727677789478,1.00562702232546,NA,NA,4904.332,-0.271032290568293,0.639476610833333,1.43896008551704,NA,NA,99,-0.574332144863101,99,-0.659785952350743,NA,NA,NA,NA,0.3364,0.562467204230116,NA,NA,NA,NA,-0.358181569598675,-0.532100028554981,NA,-0.282858581345077,0.247028863676345,NA,NA,NA,NA,NA,3021219.112
"26",1992,147,-0.626578573019464,12.76552,0.558305774071092,0.5348,-0.229013042337547,-1.75912939427921,NA,-0.176213357527668,4969.008,-0.236505377484442,0.162583518833333,-1.07077181778409,-2.1861882,-0.596733106364415,120,0.30008854569097,117,-0.00687928481123999,NA,NA,NA,NA,0.3692,0.760204870883361,NA,NA,NA,NA,-1.245158887128,0.762568067219895,NA,1.75745636328109,1.37147923554993,NA,NA,0.0223057733724696,NA,NA,3342362.964
"27",1993,162,-0.126923798934282,12.70692,0.494350018922231,-1.4532,-1.1780706680341,0.905696067508427,NA,-1.07256677704872,4018.0679,-0.744159316822811,0.370452853333333,0.0231763002830605,0.337832,1.53439274939293,166,2.21548624880941,161,1.58911479139643,NA,NA,NA,NA,0.0248,-1.31604062897572,NA,NA,NA,NA,0.324864614590534,0.601406043026188,NA,-0.699249386370825,-0.768603730273994,NA,NA,-0.440689738791227,NA,NA,5959461.665
